Species,SRR1914382,SRR1914383,SRR1914384,SRR1914691,SRR1914696,SRR1914700,SRR1914713,SRR1914738,SRR1914742,SRR1914747,SRR1916193,SRR1916194,SRR1916195,SRR1916196,SRR1916197,SRR1916198,SRR1916199,SRR1916200,SRR1916201,SRR1916202,SRR1916203,SRR1916204,SRR1916205,SRR1916206,SRR1916207,SRR1916208,SRR1916209,SRR1916210,SRR1916211,SRR1916212,SRR1916213,SRR1916214,SRR1916215,SRR1916216,SRR1916217,SRR1916218,SRR1916219,SRR1916220
ASV_004333,71,71,71,0,0,0,71,0,0,0,71,183,0,0,0,0,0,183,183,183,183,183,183,0,0,0,183,0,71,71,183,71,0,0,0,0,0,0
ASV_004441,75,75,75,0,0,0,75,0,0,0,75,172,0,0,0,0,0,172,172,172,172,172,172,0,0,0,172,0,75,75,172,75,0,0,0,0,0,0
ASV_004551,115,115,115,129,129,129,115,0,0,0,115,0,129,0,0,0,129,0,0,0,0,0,0,129,0,0,0,0,115,115,0,115,129,0,129,0,0,129
ASV_004690,96,96,96,0,0,0,96,103,103,103,96,0,0,103,103,103,0,0,0,0,0,0,0,0,103,103,0,103,96,96,0,96,0,103,0,103,103,0
ASV_004786,101,101,101,0,0,0,101,95,95,95,101,0,0,95,95,95,0,0,0,0,0,0,0,0,95,95,0,95,101,101,0,101,0,95,0,95,95,0
ASV_004866,79,79,79,0,0,0,79,0,0,0,79,142,0,0,0,0,0,142,142,142,142,142,142,0,0,0,142,0,79,79,142,79,0,0,0,0,0,0
ASV_004881,94,94,94,128,128,128,94,0,0,0,94,0,128,0,0,0,128,0,0,0,0,0,0,128,0,0,0,0,94,94,0,94,128,0,128,0,0,128
ASV_005114,0,0,0,0,0,0,0,150,150,150,0,0,0,150,150,150,0,0,0,0,0,0,0,0,150,150,0,150,0,0,0,0,0,150,0,150,150,0
ASV_005143,82,82,82,0,0,0,82,0,0,0,82,126,0,0,0,0,0,126,126,126,126,126,126,0,0,0,126,0,82,82,126,82,0,0,0,0,0,0
ASV_005451,0,0,0,0,0,0,0,140,140,140,0,0,0,140,140,140,0,0,0,0,0,0,0,0,140,140,0,140,0,0,0,0,0,140,0,140,140,0
ASV_005648,0,0,0,0,0,0,0,134,134,134,0,0,0,134,134,134,0,0,0,0,0,0,0,0,134,134,0,134,0,0,0,0,0,134,0,134,134,0
ASV_005765,0,0,0,0,0,0,0,131,131,131,0,0,0,131,131,131,0,0,0,0,0,0,0,0,131,131,0,131,0,0,0,0,0,131,0,131,131,0
ASV_005931,0,0,0,0,0,0,0,127,127,127,0,0,0,127,127,127,0,0,0,0,0,0,0,0,127,127,0,127,0,0,0,0,0,127,0,127,127,0
ASV_006017,77,77,77,0,0,0,77,53,53,53,77,27,0,53,53,53,0,27,27,27,27,27,27,0,53,53,27,53,77,77,27,77,0,53,0,53,53,0
ASV_006045,0,0,0,0,0,0,0,124,124,124,0,0,0,124,124,124,0,0,0,0,0,0,0,0,124,124,0,124,0,0,0,0,0,124,0,124,124,0
ASV_006061,74,74,74,99,99,99,74,0,0,0,74,0,99,0,0,0,99,0,0,0,0,0,0,99,0,0,0,0,74,74,0,74,99,0,99,0,0,99
